symptoms,label,disease
ammonia may be high not eating properly,2,Bacterial gill disease
one fish has fungus on body brething faster than normal fish was moved to new tank not sure what happened...,3,Fungal diseases Saprolegniasis
for 2 days grey wite fungus white cottn like growth inflamed red areas only one fish affected,3,Fungal diseases Saprolegniasis
in my aquarium grey white fungus sometimes floating near surface not sure what happened,3,Fungal diseases Saprolegniasis
i noticed please help normal brething sometimes stays still,4,Healthy Fish
red ulcer on body sometimes floating near surface,0,Bacterial Red disease
DOES NOT REACT MUCH PALE GILLS,2,Bacterial gill disease
my fish has clear eyes eats a little slow but normal other fish look normal,4,Healthy Fish
today i saw red patches on body loss of appetite sometimes floating near surface what disease is this,0,Bacterial Red disease
i noticed tiny salt like dots white spots on body breathing faster than normal water is cloudy it happens mostly at night,5,Parasitic diseases
fish looks helthy ammonia may be high other fish look normal,4,Healthy Fish
today i saw tail rot like whit area does not react much not sure what happened,6,Viral diseases White tail disease
today i saw flashing behavior white spots on body abnormal swimming color looks dull getting worse,5,Parasitic diseases
FUNGUS ON BODY TANK HAS ALGAE FISH SHOWING WHAT DISEASE IS THIS LOSS OF APPITITE,3,Fungal diseases Saprolegniasis
in my aquarium red streaks around tail does not react much breathing faster than normal water is slightly dirty only one fish affected,0,Bacterial Red disease
what disease is this scratching against rocks slow swimming today i saw fish keeps scratching,5,Parasitic diseases
my fish has small blood marks on scales bleeding marks on skin slow swimming water is slightly dirty rapid gill movement,0,Bacterial Red disease
Since yesterday bright body color no swelling filter was off for few hours started recently,4,Healthy Fish
FISH SHOWING BLOATED ABDOMEN SOMETIMES FLOATING NEAR SURFACE IT HAPPENS MOSTLY AT NIGHT...,1,Bacterial diseases - Aeromoniasis
for 2 days scales sticking out loss of appetite water smells bad started recently,1,Bacterial diseases - Aeromoniasis
for 2 days scratching against rocks clamped fins hiding in corner only one fish affected,5,Parasitic diseases
weak swimming with whit tail what disease is this weak movement problem is water smells bad,6,Viral diseases White tail disease
gills look damaged slow swimming,2,Bacterial gill disease
Deep skin ulcers not sure what happened bleeding marks on skin red wounds on belly my fish has,0,Bacterial Red disease
for 2 days red ulcers on body fins are clamped abnormal swimming water temperature changed it happens mostly at night,0,Bacterial Red disease
less active than usual grey white fungus it happens mostly at night grey wite fungus in my aquarium,3,Fungal diseases Saprolegniasis
mucus on gills rapid gill movement sometimes floating near surface feed was changed recently getting worse,2,Bacterial gill disease
i noticed bloody red spots hiding in corner new fish added recently what disease is this,0,Bacterial Red disease
in my aquarium white spots on body skin irritation fish looks stressed getting worse,5,Parasitic diseases
one fish has gasping at water surface does not react much what disease is this,2,Bacterial gill disease
no red spots fish looks healthy for 2 days,4,Healthy Fish
since yesterday normal breathing no fungus started recently,4,Healthy Fish
GREY WHITE FUNGUS FUNGUS ON BODY NOT EATING PROPERLY IT HAPPENS MOSTLY AT NIGHT,3,Fungal diseases Saprolegniasis
one fish has white tail tip tail rot like white area,6,Viral diseases White tail disease
filter was off for few hours does not react much,0,Bacterial Red disease
ACTIVE AND EATING WELL...,4,Healthy Fish
mucus on gills filter was off for few hours is it serious,2,Bacterial gill disease
red patches on body not eating properly...?,0,Bacterial Red disease
for 2 days tail rot like white area oxygen level may be low red ulcers body not sure what happened?,6,Viral diseases White tail disease
weak swimming with white tail fish looks tired...?,6,Viral diseases White tail disease
bloated abdomen breathing faster than normal hiding in corner tiny salt like dots not sure what happened,1,Bacterial diseases - Aeromoniasis
my fish has tail end looks dead does not react much fish looks tired water is cloudy started recently,6,Viral diseases White tail disease
It happens mostly at night since yesterday loss of appetite deep skin ulcers weak movement scales sticking out,1,Bacterial diseases - Aeromoniasis
visible lice on fish started recently fish looks tired tiny salt like dots fish showing pH may be unstable,5,Parasitic diseases
in my aquarium red sores near fins red sores near fins slow swimming sometimes floating near surface not sure what happened?,0,Bacterial Red disease
my fish has normal breathing tank has algae is it serious,4,Healthy Fish
my fish has normal breathing started recently,4,Healthy Fish
problem is blody red spots small blood marks on scales sometimes floating near surface getting worse,0,Bacterial Red disease
grey white fungus staying at bottom...,3,Fungal diseases Saprolegniasis
problem is fuzzy white patches white hairy patch sometimes floating near surface water is slightly dirty other fish look normal,3,Fungal diseases Saprolegniasis
problem fluid filled belly slow swimming fish looks tired after water change what disease is this?,1,Bacterial diseases - Aeromoniasis
today i saw scales sticking out abnormal swimming other fish look normal,1,Bacterial diseases - Aeromoniasis
problem is abnormal swimming hiding in corner skin irritation,5,Parasitic diseases
mold like growth on tail less activ than usual slow swimming what disease is this,3,Fungal diseases Saprolegniasis
hiding in corner water temperature changed,1,Bacterial diseases - Aeromoniasis
i noticed healthy fins eats a little slow but normal please help,4,Healthy Fish
one fish has parasites attached to skin does not react much staying at bottom it happens mostly at night?,5,Parasitic diseases
in my aquarium rapid gill movement what disease is this?,2,Bacterial gill disease
breathing faster than normal feed was changed recently,0,Bacterial Red disease
since yesterday fish looks helthy ammonia may be high not sure what happened,4,Healthy Fish
today i saw stays near filter outlet fins are clamped fish looks stressed fuzzy white patches it happens mostly at night,2,Bacterial gill disease
loss of appetite pH may be unstable...,5,Parasitic diseases
problem is white hairy patch it happens mostly at night,3,Fungal diseases Saprolegniasis
FISH LOOKS TIRED TAILL END LOOKS DEAD,6,Viral diseases White tail disease
white hairy patch mold like growth on tail fins are clamped water is slightly dirty started recently,3,Fungal diseases Saprolegniasis
slow swimming fish was moved to new tank,5,Parasitic diseases
fish showing fluid filled belly not eating properly weak movement filter was off for few hours cotton wool growth only one fish affected...,1,Bacterial diseases - Aeromoniasis
skin looks reddish and damaged red ulcers on body not eating properly hiding in corner started recently,0,Bacterial Red disease
no visible wounds?,4,Healthy Fish
today i saw skin looks reddish and damaged red sores fins color looks dull water is slightly dirty fluffy fungas wound getting worse?,0,Bacterial Red disease
today i saw grey white fungus slow swimming feed was changed recently gasping at water surface getting worse...,3,Fungal diseases Saprolegniasis
HIDING IN CORNER FISH WAS MOVED TO NEW TANK,6,Viral diseases White tail disease
for 2 days fish swimming normally oxygen level may be low started recently,4,Healthy Fish
STAYING AT BOTTOM COTTON WOOL GROWTH SMALL BLOOD MARKS ON SCALES FUNGUS BODY OTHER FISH LOOK NORMAL PROBLEM IS,3,Fungal diseases Saprolegniasis
weak swimming with white tail slow swimming,6,Viral diseases White tail disease
red wounds with swelling swollen belly abnormal swimming only one fish affected,1,Bacterial diseases - Aeromoniasis
since yesterday gills look damaged fish looks stressed loss of appetite,2,Bacterial gill disease
no visible wounds?,4,Healthy Fish
fuzzy white patches fins are clamped,3,Fungal diseases Saprolegniasis
My fish has dropsy like swelling popeye feed was changed recently started recently,1,Bacterial diseases - Aeromoniasis
bloated abdomen weak movement,1,Bacterial diseases - Aeromoniasis
does not react much fish showing white cotton like growth started recently,3,Fungal diseases Saprolegniasis
smooth scales started recently pH may be unstable my fish has,4,Healthy Fish
white spots on body sometimes floating near surface,5,Parasitic diseases
today i saw teil fin becoming pale weak swimming with white tail hiding in corner sometimes floating near surface,6,Viral diseases White tail disease
since yesterday healthy fins it happens mostly at night,4,Healthy Fish
my fish has rapid gill movement stays near filter outlet less active than usual does not react much scratchng against rocks please help,2,Bacterial gill disease
only one fish affected normal breathing problem is,4,Healthy Fish
red ulcers on body fish showing other fish look normal fish looks stressed,0,Bacterial Red disease
getting worse staying at bottom problem is weak movement tail tissue damaged,6,Viral diseases White tail disease
i noticed fish looks healthy not sure what happened?,4,Healthy Fish
Active and eating well,4,Healthy Fish
white cotton like growth white spots on body rubbing body on tank wall my fish has what disease is this loss of appetite,5,Parasitic diseases
since yesterday red wounds on belly breathing faster than normal fish looks tired clamped fins is it serious...,0,Bacterial Red disease
tail end looks dead does not react much,6,Viral diseases White tail disease
not eating properly filter was off for few hours,3,Fungal diseases Saprolegniasis
